TOWN,ZIPCODE,Average Customer Duration ( Hours),Total Duration Hours,# Events Affecting Town/Zipcode,Customers Served,Outages Per Customer,Events/Customer Above Average IND,Duration Above Average
OLD MYSTIC,06372,27,10024.9,32,120,0.267,BelowAverage,BelowAverage
OLD SAYBROOK,06475,27,788778.6,557,7154,0.078,BelowAverage,BelowAverage
ONECO,06373,30,23161.5,66,140,0.471,BelowAverage,BelowAverage
OXFORD,06478,39,1286934.5,1126,5775,0.195,BelowAverage,BelowAverage
PAWCATUCK,06379,33,657452.3,216,4607,0.047,BelowAverage,BelowAverage
PEQUABUCK,06781,44,8731.9,25,158,0.158,BelowAverage,BelowAverage
PINE MEADOW,06061,30,11791.3,17,127,0.134,BelowAverage,BelowAverage
PLAINFIELD,06374,16,234667.6,421,3703,0.114,BelowAverage,BelowAverage
PLAINVILLE,06062,22,368483.1,180,9481,0.019,BelowAverage,BelowAverage
PLANTSVILLE,06479,30,363848.7,172,4380,0.039,BelowAverage,BelowAverage
PLYMOUTH,06782,12,92282.3,164,1499,0.109,BelowAverage,BelowAverage
POMFRET,06258,20,126527.5,422,746,0.566,BelowAverage,BelowAverage
POMFRET CENTER,06259,21,209211.6,454,1078,0.421,BelowAverage,BelowAverage
PORTLAND,06480,15,419854.2,440,4677,0.094,BelowAverage,BelowAverage
PRESTON,06365,23,481815.1,590,2252,0.262,BelowAverage,BelowAverage
PROSPECT,06712,18,405295.5,365,4250,0.086,BelowAverage,BelowAverage
PUTNAM,06260,23,423065.1,461,5218,0.088,BelowAverage,BelowAverage
QUAKER HILL,06375,17,203510.2,188,1644,0.114,BelowAverage,BelowAverage
QUINEBAUG,06262,19,48213.7,39,279,0.140,BelowAverage,BelowAverage
REDDING,06896,33,1280099.1,1000,3491,0.286,BelowAverage,BelowAverage
REDDING CENTER,06875,39,18175.5,146,49,2.980,BelowAverage,BelowAverage
REDDING RIDGE,06876,32,32447.4,102,94,1.085,BelowAverage,BelowAverage
RIDGEFIELD,06877,46,2976628.5,1959,10994,0.178,BelowAverage,BelowAverage
RIVERSIDE,06878,33,368095.8,295,2971,0.099,BelowAverage,BelowAverage
RIVERTON,06065,28,44333.1,78,318,0.245,BelowAverage,BelowAverage
ROCKFALL,06481,36,30823.8,24,242,0.099,BelowAverage,BelowAverage
ROCKY HILL,06067,14,301838.9,210,10244,0.020,BelowAverage,BelowAverage
